Designator,Mid X,Mid Y,Rotation,Layer
ANT1,211.2,-111.4,270.0,top
BT1,222.05,-112.15,160.0,bottom
C1,167.599,-122.485,90.0,top
C10,204.1,-112.6,0.0,top
C11,194.9,-111.7,0.0,top
C12,206.3,-110.3,90.0,top
C13,207.7,-120.0,270.0,top
C14,205.2,-110.9,90.0,top
C15,198.206,-108.769,270.0,top
C16,204.2,-110.9,90.0,top
C17,227.67,-126.676,0.0,top
C18,219.161,-125.279,0.0,top
C19,202.0,-111.1,90.0,top
C2,200.9,-119.8,270.0,top
C20,202.0,-109.2,270.0,top
C21,219.161,-123.882,180.0,top
C23,226.5,-114.2,0.0,top
C24,226.5,-113.0,0.0,top
C25,222.55,-140.06,0.0,top
C26,166.075,-122.485,90.0,top
C27,202.9,-110.7,90.0,top
C28,222.57,-138.44,0.0,top
C29,229.86,-136.76,180.0,top
C3,201.9,-119.8,270.0,top
C30,171.155,-136.709,180.0,top
C31,229.83,-135.68,180.0,top
C32,171.155,-135.566,180.0,top
C33,194.0,-113.0,180.0,top
C34,198.7,-121.3,270.0,top
C35,228.4,-129.78,0.0,bottom
C36,200.0,-120.3,270.0,top
C4,204.8,-114.0,270.0,top
C5,194.6,-118.5,0.0,top
C6,208.7,-113.3,90.0,top
C7,203.8,-117.8,0.0,top
C8,203.1,-116.2,270.0,top
C9,203.9,-115.0,270.0,top
D1,242.4,-104.6,180.0,top
D2,157.4,-104.4,180.0,top
D3,216.549452,-143.320894,331.5,top
D4,180.653505,-144.61379,28.5,top
D5,218.7,-117.5,180.0,top
D6,171.155,-133.534,0.0,top
D7,230.46,-133.94,0.0,top
D8,191.5,-122.4,180.0,top
J2,190.746471,-109.302666,100.0,top
L1,203.1,-119.8,90.0,top
L2,211.9,-121.9,0.0,top
LS1,231.3,-122.3,90.0,bottom
M1,170.132233,-139.132233,315.0,bottom
M2,227.427348,-140.965115,45.0,bottom
Q2,208.3,-123.4,180.0,top
Q3,192.5375,-120.35,0.0,top
R1,205.7,-120.2,270.0,top
R10,188.5,-122.8,0.0,top
R11,188.5,-123.8,0.0,top
R12,188.5,-121.8,0.0,top
R13,189.0,-110.4,180.0,top
R14,221.32,-126.676,180.0,top
R15,219.288,-142.043,270.0,top
R16,186.014,-142.678,180.0,top
R17,198.0,-123.7,90.0,top
R18,193.1,-147.9,180.0,top
R19,189.6,-144.8,180.0,top
R2,206.2,-113.6,0.0,top
R20,188.981,-117.9,180.0,top
R21,206.55,-147.9,0.0,top
R22,210.1,-145.599,0.0,top
R23,212.4,-119.7,180.0,top
R24,224.6,-116.2,180.0,top
R25,194.5,-117.5,0.0,top
R26,207.7,-113.3,90.0,top
R27,203.2,-123.5,270.0,top
R28,169.631,-121.596,0.0,top
R29,172.171,-121.596,180.0,top
R3,188.981,-118.9,180.0,top
R30,191.4,-123.5,0.0,top
R31,192.1,-117.8,270.0,top
R33,201.4,-122.8,270.0,top
R34,195.0,-123.7,90.0,top
R35,196.0,-123.7,90.0,top
R36,218.78,-136.074,90.0,top
R37,218.78,-133.661,270.0,top
R39,189.0,-111.4,0.0,top
R4,189.0,-115.9,0.0,top
R40,189.0,-112.4,0.0,top
R41,168.869,-131.121,180.0,top
R42,227.035,-130.613,0.0,top
R43,197.0,-123.7,90.0,top
R5,188.981,-116.9,0.0,top
R6,189.0,-114.9,0.0,top
R7,194.6,-119.5,0.0,top
R8,189.0,-113.9,180.0,top
R9,224.876,-126.676,180.0,top
U1,199.0,-115.4,90.0,top
U2,224.6,-123.15,0.0,top
U3,170.901,-125.914,270.0,top
U4,223.37,-134.8,0.0,top
Y1,200.1,-109.5,135.0,top
