Ref,Val,Package,Mid X,Mid Y,Rot,Layer
BT1,Battery,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,222.05,-112.15,160,bottom
C35,DNP,CP_Elec_8x10.5,228.4,-129.78,0,bottom
LS1,Speaker,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,231.3,-122.3,90,bottom
M1,Conn_01x02_Male,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,170.132233,-139.132233,-45,bottom
M2,Conn_01x02_Male,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,227.427348,-140.965115,45,bottom
ANT1,2450AT43B100E,2450AT43B100E,211.2,-111.4,-90,top
C1,10uF,C_0603_1608Metric,167.599,-122.485,90,top
C2,2.2uF,C_0402_1005Metric,200.9,-119.8,-90,top
C3,2.2uF,C_0402_1005Metric,201.9,-119.8,-90,top
C4,DNP,C_0402_1005Metric,204.8,-114,-90,top
C5,2.2uF,C_0402_1005Metric,194.6,-118.5,0,top
C6,DNP,C_0402_1005Metric,208.7,-113.3,90,top
C7,2.2uF,C_0402_1005Metric,204,-117.7,0,top
C8,2.2uF,C_0402_1005Metric,203.1,-116.2,-90,top
C9,100nF,C_0402_1005Metric,203.9,-115,-90,top
C10,10pF,C_0402_1005Metric,204.1,-112.6,0,top
C11,2.2uF,C_0402_1005Metric,194.9,-111.7,0,top
C12,10uF,C_0603_1608Metric,206.3,-110.3,90,top
C13,10uF,C_0603_1608Metric,210.1,-122.27,-90,top
C14,10pF,C_0402_1005Metric,205.2,-110.9,90,top
C15,12pF,C_0402_1005Metric,198.206,-108.769,-90,top
C16,2.2uF,C_0402_1005Metric,204.2,-110.9,90,top
C17,22uF,C_0603_1608Metric,227.67,-126.676,0,top
C18,0.39uF,C_0603_1608Metric,219.161,-125.279,0,top
C19,10pF,C_0402_1005Metric,202,-111.1,90,top
C20,12pF,C_0402_1005Metric,202.08,-108.94,-90,top
C21,1uF,C_0603_1608Metric,219.161,-123.882,180,top
C22,1uF,C_0603_1608Metric,210.05,-119.52,90,top
C23,2.2uF,C_0402_1005Metric,226.5,-114.2,0,top
C24,100nF,C_0402_1005Metric,226.5,-113,0,top
C25,10uF,C_0603_1608Metric,221.1,-139.55,0,top
C26,10uF,C_0603_1608Metric,166.075,-122.485,90,top
C27,100nF,C_0402_1005Metric,202.9,-110.7,90,top
C28,10uF,C_0603_1608Metric,221.15,-138.15,0,top
C29,100nF,C_0402_1005Metric,229.86,-136.76,180,top
C30,100nF,C_0402_1005Metric,171.155,-136.709,180,top
C31,100nF,C_0402_1005Metric,229.83,-135.68,180,top
C32,100nF,C_0402_1005Metric,171.155,-135.566,180,top
C33,1uF,C_0402_1005Metric,193.9,-113,180,top
C34,1uF,C_0402_1005Metric,198.7,-121.3,-90,top
C36,1nF,C_0402_1005Metric,200,-120.3,-90,top
C37,10uF,C_1206_3216Metric,205.1,-122.1,-90,top
D1,LED_RGBA,FM-B2020RGBA-HG,242.4,-104.6,180,top
D2,LED_RGBA,FM-B2020RGBA-HG,157.4,-104.4,180,top
D3,LED,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,216.549452,-143.320894,-28.5,top
D4,LED,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,180.653505,-144.61379,28.5,top
